"query","significant","p.adjust","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Category"
"query_1",TRUE,0.00220138371167876,4951,9701,3621,0.373260488609422,0.731367400525146,"GO:0051716","GO:BP","cellular response to stimulus",13751,14364,"GO:0009987, GO:0050896","Biological Process"
"query_1",TRUE,0.00220138371167876,5753,9701,4190,0.43191423564581,0.728315661394055,"GO:0050896","GO:BP","response to stimulus",13751,13774,"GO:0008150","Biological Process"
"query_1",TRUE,0.00304547121449427,4205,9701,3084,0.317905370580353,0.733412604042806,"GO:0023052","GO:BP","signaling",13751,6877,"GO:0050789","Biological Process"
"query_1",TRUE,0.00304547121449427,12121,9701,8636,0.89021750335017,0.712482468443198,"GO:0008150","GO:BP","biological_process",13751,3158,"","Biological Process"
"query_1",TRUE,0.00377540545265338,4270,9701,3126,0.322234821152458,0.732084309133489,"GO:0007154","GO:BP","cell communication",13751,2749,"GO:0009987","Biological Process"
"query_1",TRUE,0.00377540545265338,8079,9701,5821,0.600041232862591,0.720509964104468,"GO:0050789","GO:BP","regulation of biological process",13751,13687,"GO:0008150, GO:0065007","Biological Process"
"query_1",TRUE,0.00377540545265338,11520,9701,8219,0.847232244098547,0.713454861111111,"GO:0009987","GO:BP","cellular process",13751,3849,"GO:0008150","Biological Process"
"query_1",TRUE,0.00377540545265338,8322,9701,5994,0.617874445933409,0.720259552992069,"GO:0065007","GO:BP","biological regulation",13751,16384,"GO:0008150","Biological Process"
"query_1",TRUE,0.00634512285304178,207,9701,174,0.0179362952272962,0.840579710144927,"GO:0048738","GO:BP","cardiac muscle tissue development",13751,13420,"GO:0007507, GO:0014706","Biological Process"
"query_1",TRUE,0.00652503464533963,591,9701,464,0.0478301206061231,0.785109983079526,"GO:0019725","GO:BP","cellular homeostasis",13751,6234,"GO:0042592","Biological Process"
"query_1",TRUE,0.00652503464533963,219,9701,183,0.0188640346356046,0.835616438356164,"GO:0014706","GO:BP","striated muscle tissue development",13751,4701,"GO:0060537","Biological Process"
"query_1",TRUE,0.0340499838604368,4844,9701,3519,0.362746108648593,0.726465730800991,"GO:0032501","GO:BP","multicellular organismal process",13751,7883,"GO:0008150","Biological Process"
"query_1",TRUE,0.0340499838604368,84,9701,75,0.00773116173590352,0.892857142857143,"GO:0006942","GO:BP","regulation of striated muscle contraction",13751,2610,"GO:0006937, GO:0006941","Biological Process"
"query_1",TRUE,0.0340499838604368,505,9701,396,0.0408205339655706,0.784158415841584,"GO:0055082","GO:BP","intracellular chemical homeostasis",13751,14700,"GO:0019725, GO:0048878","Biological Process"
"query_1",TRUE,0.0369120665771783,898,9701,685,0.0706112771879188,0.762806236080178,"GO:0072359","GO:BP","circulatory system development",13751,17886,"GO:0048731","Biological Process"
"query_1",TRUE,0.0369120665771783,211,9701,174,0.0179362952272962,0.824644549763033,"GO:0003015","GO:BP","heart process",13751,1473,"GO:0003013","Biological Process"
"query_1",TRUE,0.0391385310567267,7697,9701,5534,0.570456653953201,0.718981421332987,"GO:0050794","GO:BP","regulation of cellular process",13751,13691,"GO:0009987, GO:0050789","Biological Process"
"query_1",TRUE,0.0415672428882613,201,9701,166,0.0171116379754664,0.825870646766169,"GO:0060047","GO:BP","heart contraction",13751,14775,"GO:0003015, GO:0008015","Biological Process"
"query_1",TRUE,0.0434894382873924,2001,9701,1482,0.152767755901453,0.740629685157421,"GO:0051128","GO:BP","regulation of cellular component organization",13751,13953,"GO:0016043, GO:0050794","Biological Process"
"query_1",TRUE,0.0434894382873924,264,9701,213,0.021956499329966,0.806818181818182,"GO:0071214","GO:BP","cellular response to abiotic stimulus",13751,16974,"GO:0009628, GO:0104004","Biological Process"
"query_1",TRUE,0.0434894382873924,1845,9701,1370,0.141222554375838,0.742547425474255,"GO:0070887","GO:BP","cellular response to chemical stimulus",13751,16854,"GO:0042221, GO:0051716","Biological Process"
"query_1",TRUE,0.0434894382873924,264,9701,213,0.021956499329966,0.806818181818182,"GO:0104004","GO:BP","cellular response to environmental stimulus",13751,19754,"GO:0051716","Biological Process"
"query_1",TRUE,0.0434894382873924,4000,9701,2914,0.300381403978971,0.7285,"GO:0051179","GO:BP","localization",13751,14002,"GO:0008150","Biological Process"
"query_1",TRUE,0.0434894382873924,365,9701,289,0.0297907432223482,0.791780821917808,"GO:0030003","GO:BP","intracellular monoatomic cation homeostasis",13751,6885,"GO:0006873, GO:0055080","Biological Process"
"query_1",TRUE,0.0434894382873924,202,9701,166,0.0171116379754664,0.821782178217822,"GO:1903522","GO:BP","regulation of blood circulation",13751,23661,"GO:0008015, GO:0044057","Biological Process"
"query_1",TRUE,0.0434894382873924,3865,9701,2818,0.290485516957015,0.729107373868047,"GO:0007165","GO:BP","signal transduction",13751,2760,"GO:0007154, GO:0009987, GO:0023052, GO:0050794, GO:0051716","Biological Process"
"query_1",TRUE,0.0434894382873924,4131,9701,3007,0.309968044531492,0.727910917453401,"GO:0048856","GO:BP","anatomical structure development",13751,13525,"GO:0032502","Biological Process"
"query_1",TRUE,0.0434894382873924,402,9701,317,0.0326770436037522,0.788557213930348,"GO:0044057","GO:BP","regulation of system process",13751,11253,"GO:0003008, GO:0051239","Biological Process"
"query_1",TRUE,0.0434894382873924,2437,9701,1795,0.185032470879291,0.736561345917111,"GO:0042221","GO:BP","response to chemical",13751,10394,"GO:0050896","Biological Process"
"query_1",TRUE,0.0434894382873924,134,9701,114,0.0117513658385733,0.850746268656716,"GO:0035265","GO:BP","organ growth",13751,9234,"GO:0032501, GO:0048589","Biological Process"
"query_1",TRUE,0.0434894382873924,4482,9701,3257,0.33573858365117,0.726684515841142,"GO:0032502","GO:BP","developmental process",13751,7884,"GO:0008150","Biological Process"
"query_1",TRUE,0.0434894382873924,133,9701,113,0.0116482836820946,0.849624060150376,"GO:0006937","GO:BP","regulation of muscle contraction",13751,2606,"GO:0006936, GO:0090257","Biological Process"
"query_1",TRUE,0.0453715857492422,171,9701,142,0.0146376662199773,0.830409356725146,"GO:0008016","GO:BP","regulation of heart contraction",13751,3131,"GO:0060047, GO:1903522","Biological Process"
"query_1",TRUE,0.0453715857492422,308,9701,246,0.0253582104937635,0.798701298701299,"GO:0016236","GO:BP","macroautophagy",13751,5240,"GO:0006914","Biological Process"
"query_1",TRUE,3.69599746818897e-08,12003,9701,8590,0.885475724152149,0.715654419728401,"GO:0005488","GO:MF","binding",13751,1480,"GO:0003674","Molecular Function"
"query_1",TRUE,2.75269019163545e-07,12639,9701,9011,0.928873312029688,0.71295197404858,"GO:0003674","GO:MF","molecular_function",13751,322,"","Molecular Function"
"query_1",TRUE,3.93043096804166e-07,10893,9701,7821,0.806205545820019,0.717984026438998,"GO:0005515","GO:MF","protein binding",13751,1492,"GO:0005488","Molecular Function"
"query_1",TRUE,0.000600500782400788,1923,9701,1446,0.14905679826822,0.75195007800312,"GO:0043168","GO:MF","anion binding",13751,5722,"GO:0043167","Molecular Function"
"query_1",TRUE,0.00224747432568741,1768,9701,1328,0.136893103803732,0.751131221719457,"GO:0097367","GO:MF","carbohydrate derivative binding",13751,9101,"GO:0005488","Molecular Function"
"query_1",TRUE,0.00242664747918392,1232,9701,937,0.0965879806205546,0.760551948051948,"GO:0005524","GO:MF","ATP binding",13751,1500,"GO:0032559, GO:0035639","Molecular Function"
"query_1",TRUE,0.00358067097687035,1366,9701,1033,0.106483867642511,0.756222547584187,"GO:0030554","GO:MF","adenyl nucleotide binding",13751,3946,"GO:0017076","Molecular Function"
"query_1",TRUE,0.00469821691091632,1871,9701,1398,0.144108854757242,0.747194013896312,"GO:1901363","GO:MF","heterocyclic compound binding",13751,10912,"GO:0036094","Molecular Function"
"query_1",TRUE,0.00559725292979531,1511,9701,1136,0.117101329759819,0.751819986763733,"GO:0035639","GO:MF","purine ribonucleoside triphosphate binding",13751,5351,"GO:0043168, GO:1901265, GO:1901363","Molecular Function"
"query_1",TRUE,0.00573906840366685,1282,9701,969,0.0998866096278734,0.75585023400936,"GO:0032559","GO:MF","adenyl ribonucleotide binding",13751,4457,"GO:0030554, GO:0032555","Molecular Function"
"query_1",TRUE,0.00596817080780803,1781,9701,1330,0.137099268116689,0.746771476698484,"GO:0000166","GO:MF","nucleotide binding",13751,31,"GO:1901265, GO:1901363","Molecular Function"
"query_1",TRUE,0.00596817080780803,1782,9701,1331,0.137202350273168,0.746913580246914,"GO:1901265","GO:MF","nucleoside phosphate binding",13751,10909,"GO:0097159","Molecular Function"
"query_1",TRUE,0.00596817080780803,1645,9701,1232,0.126997216781775,0.748936170212766,"GO:0017076","GO:MF","purine nucleotide binding",13751,3134,"GO:0000166","Molecular Function"
"query_1",TRUE,0.0105678190086382,1560,9701,1167,0.120296876610659,0.748076923076923,"GO:0032555","GO:MF","purine ribonucleotide binding",13751,4453,"GO:0017076, GO:0032553","Molecular Function"
"query_1",TRUE,0.0105678190086382,1572,9701,1176,0.121224616018967,0.748091603053435,"GO:0032553","GO:MF","ribonucleotide binding",13751,4451,"GO:0000166, GO:0097367","Molecular Function"
"query_1",TRUE,0.0105678190086382,4415,9701,3213,0.331202968766107,0.727746319365798,"GO:0003824","GO:MF","catalytic activity",13751,368,"GO:0003674","Molecular Function"
"query_1",TRUE,0.0354868096607448,658,9701,505,0.0520564890217503,0.767477203647416,"GO:0016817","GO:MF","hydrolase activity, acting on acid anhydrides",13751,3001,"GO:0016787","Molecular Function"
"query_1",TRUE,0.0354868096607448,658,9701,505,0.0520564890217503,0.767477203647416,"GO:0016818","GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",13751,3002,"GO:0016817","Molecular Function"
"query_1",TRUE,0.0369035385266635,657,9701,504,0.0519534068652716,0.767123287671233,"GO:0016462","GO:MF","pyrophosphatase activity",13751,2808,"GO:0016818","Molecular Function"
"query_1",TRUE,2.66227622955167e-05,12640,9701,9000,0.927739408308422,0.712025316455696,"GO:0005575","GO:CC","cellular_component",13751,197,"","Cellular Component"
"query_1",TRUE,0.00023188877436719,12560,9701,8938,0.921348314606742,0.711624203821656,"GO:0110165","GO:CC","cellular anatomical entity",13751,3439,"GO:0005575","Cellular Component"
"query_1",TRUE,0.000530831922374273,3592,9701,2646,0.272755386042676,0.736636971046771,"GO:0071944","GO:CC","cell periphery",13751,2793,"GO:0110165","Cellular Component"
"query_1",TRUE,0.00118768996247566,3278,9701,2416,0.249046490052572,0.737034777303234,"GO:0005886","GO:CC","plasma membrane",13751,422,"GO:0016020, GO:0071944","Cellular Component"
"query_1",TRUE,0.00148129330147018,9258,9701,6644,0.684877847644573,0.717649600345647,"GO:0005737","GO:CC","cytoplasm",13751,309,"GO:0005622, GO:0110165","Cellular Component"
"query_1",TRUE,0.00174846684099836,6442,9701,4662,0.480569013503763,0.723688295560385,"GO:0016020","GO:CC","membrane",13751,720,"GO:0110165","Cellular Component"
"query_1",TRUE,0.0264727615180696,11269,9701,8026,0.827337387898155,0.712219362853847,"GO:0005622","GO:CC","intracellular anatomical structure",13751,237,"GO:0110165","Cellular Component"
"query_1",TRUE,0.0264727615180696,10205,9701,7286,0.751056592103907,0.713963743263106,"GO:0043229","GO:CC","intracellular organelle",13751,1881,"GO:0005622, GO:0043226","Cellular Component"
"query_1",TRUE,0.0264727615180696,748,9701,572,0.0589629935058241,0.764705882352941,"GO:0099512","GO:CC","supramolecular fiber",13751,3365,"GO:0099081","Cellular Component"
"query_1",TRUE,0.0302983442246277,755,9701,576,0.059375322131739,0.762913907284768,"GO:0099081","GO:CC","supramolecular polymer",13751,3342,"GO:0099080","Cellular Component"
"query_1",TRUE,0.0424704766303182,595,9701,457,0.0471085455107721,0.768067226890756,"GO:0000323","GO:CC","lytic vacuole",13751,53,"GO:0005773","Cellular Component"
"query_1",TRUE,0.0424704766303182,595,9701,457,0.0471085455107721,0.768067226890756,"GO:0005764","GO:CC","lysosome",13751,332,"GO:0000323","Cellular Component"
"query_1",TRUE,0.046070154333702,359,9701,282,0.0290691681269972,0.785515320334262,"GO:0098687","GO:CC","chromosomal region",13751,3245,"GO:0005694, GO:0110165","Cellular Component"
