Sample,Counts,Ind,Individual,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R55_R1,28568398,female_1,Ind_1,CX-5461,0.1,3,75-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R73_R1,30002440,female_2,Ind_2,CX-5461,0.1,3,78-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R91_R1,26311164,female_3,Ind_3,CX-5461,0.1,3,87-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R1_R1,33084169,Male_1,Ind_4,CX-5461,0.1,3,17-3_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R19_R1,23596812,Male_2,Ind_5,CX-5461,0.1,3,84-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R37_R1,21729878,Male_3,Ind_6,CX-5461,0.1,3,90-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R61_R1,27454177,female_1,Ind_1,CX-5461,0.1,24,75-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R79_R1,23352662,female_2,Ind_2,CX-5461,0.1,24,78-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R97_R1,39448868,female_3,Ind_3,CX-5461,0.1,24,87-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R7_R1,27006362,Male_1,Ind_4,CX-5461,0.1,24,17-3_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R25_R1,33715044,Male_2,Ind_5,CX-5461,0.1,24,84-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R43_R1,19801671,Male_3,Ind_6,CX-5461,0.1,24,90-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R67_R1,29071890,female_1,Ind_1,CX-5461,0.1,48,75-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R85_R1,28937285,female_2,Ind_2,CX-5461,0.1,48,78-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R103_R1,28976075,female_3,Ind_3,CX-5461,0.1,48,87-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R13_R1,27032313,Male_1,Ind_4,CX-5461,0.1,48,17-3_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R31_R1,19033496,Male_2,Ind_5,CX-5461,0.1,48,84-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R49_R1,31779729,Male_3,Ind_6,CX-5461,0.1,48,90-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R57_R1,25870176,female_1,Ind_1,DOX,0.1,3,75-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R75_R1,25919512,female_2,Ind_2,DOX,0.1,3,78-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R93_R1,26371297,female_3,Ind_3,DOX,0.1,3,87-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R3_R1,24308481,Male_1,Ind_4,DOX,0.1,3,17-3_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R21_R1,24576654,Male_2,Ind_5,DOX,0.1,3,84-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R39_R1,27090451,Male_3,Ind_6,DOX,0.1,3,90-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R63_R1,32384790,female_1,Ind_1,DOX,0.1,24,75-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R81_R1,39258385,female_2,Ind_2,DOX,0.1,24,78-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R99_R1,27951673,female_3,Ind_3,DOX,0.1,24,87-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R9_R1,36281653,Male_1,Ind_4,DOX,0.1,24,17-3_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R27_R1,26879580,Male_2,Ind_5,DOX,0.1,24,84-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R45_R1,23450929,Male_3,Ind_6,DOX,0.1,24,90-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R69_R1,24924101,female_1,Ind_1,DOX,0.1,48,75-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R87_R1,25853198,female_2,Ind_2,DOX,0.1,48,78-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R105_R1,32969323,female_3,Ind_3,DOX,0.1,48,87-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R15_R1,30284553,Male_1,Ind_4,DOX,0.1,48,17-3_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R33_R1,22840419,Male_2,Ind_5,DOX,0.1,48,84-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R51_R1,23287612,Male_3,Ind_6,DOX,0.1,48,90-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R59_R1,26655617,female_1,Ind_1,VEH,0.1,3,75-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R77_R1,28156166,female_2,Ind_2,VEH,0.1,3,78-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R95_R1,23260158,female_3,Ind_3,VEH,0.1,3,87-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R5_R1,37739151,Male_1,Ind_4,VEH,0.1,3,17-3_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R23_R1,25819215,Male_2,Ind_5,VEH,0.1,3,84-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R41_R1,26235186,Male_3,Ind_6,VEH,0.1,3,90-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R65_R1,28090801,female_1,Ind_1,VEH,0.1,24,75-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R83_R1,24300857,female_2,Ind_2,VEH,0.1,24,78-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R101_R1,28580787,female_3,Ind_3,VEH,0.1,24,87-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R11_R1,23996454,Male_1,Ind_4,VEH,0.1,24,17-3_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R29_R1,22713170,Male_2,Ind_5,VEH,0.1,24,84-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R47_R1,27638965,Male_3,Ind_6,VEH,0.1,24,90-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R71_R1,28956885,female_1,Ind_1,VEH,0.1,48,75-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R89_R1,27675638,female_2,Ind_2,VEH,0.1,48,78-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R107_R1,27058790,female_3,Ind_3,VEH,0.1,48,87-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R17_R1,34193048,Male_1,Ind_4,VEH,0.1,48,17-3_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R35_R1,21077512,Male_2,Ind_5,VEH,0.1,48,84-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R53_R1,25698484,Male_3,Ind_6,VEH,0.1,48,90-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R56_R1,27669521,female_1,Ind_1,CX-5461,0.5,3,75-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R74_R1,25953768,female_2,Ind_2,CX-5461,0.5,3,78-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R92_R1,27013630,female_3,Ind_3,CX-5461,0.5,3,87-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R2_R1,25930597,Male_1,Ind_4,CX-5461,0.5,3,17-3_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R20_R1,24164670,Male_2,Ind_5,CX-5461,0.5,3,84-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R38_R1,24155026,Male_3,Ind_6,CX-5461,0.5,3,90-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R62_R1,20256531,female_1,Ind_1,CX-5461,0.5,24,75-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R80_R1,22145161,female_2,Ind_2,CX-5461,0.5,24,78-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R98_R1,29490790,female_3,Ind_3,CX-5461,0.5,24,87-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R8_R1,24223665,Male_1,Ind_4,CX-5461,0.5,24,17-3_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R26_R1,26594390,Male_2,Ind_5,CX-5461,0.5,24,84-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R44_R1,23690225,Male_3,Ind_6,CX-5461,0.5,24,90-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R68_R1,25766199,female_1,Ind_1,CX-5461,0.5,48,75-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R86_R1,25201260,female_2,Ind_2,CX-5461,0.5,48,78-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R104_R1,26543883,female_3,Ind_3,CX-5461,0.5,48,87-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R14_R1,23948060,Male_1,Ind_4,CX-5461,0.5,48,17-3_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R32_R1,27372658,Male_2,Ind_5,CX-5461,0.5,48,84-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R50_R1,24781377,Male_3,Ind_6,CX-5461,0.5,48,90-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R58_R1,20889820,female_1,Ind_1,DOX,0.5,3,75-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R76_R1,29229627,female_2,Ind_2,DOX,0.5,3,78-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R94_R1,29646625,female_3,Ind_3,DOX,0.5,3,87-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R4_R1,26548523,Male_1,Ind_4,DOX,0.5,3,17-3_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R22_R1,25255418,Male_2,Ind_5,DOX,0.5,3,84-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R40_R1,27368981,Male_3,Ind_6,DOX,0.5,3,90-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R64_R1,27312711,female_1,Ind_1,DOX,0.5,24,75-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R82_R1,22852247,female_2,Ind_2,DOX,0.5,24,78-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R100_R1,28098918,female_3,Ind_3,DOX,0.5,24,87-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R10_R1,25345827,Male_1,Ind_4,DOX,0.5,24,17-3_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R28_R1,25661544,Male_2,Ind_5,DOX,0.5,24,84-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R46_R1,26265419,Male_3,Ind_6,DOX,0.5,24,90-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R70_R1,25384728,female_1,Ind_1,DOX,0.5,48,75-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R88_R1,24455009,female_2,Ind_2,DOX,0.5,48,78-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R106_R1,26987891,female_3,Ind_3,DOX,0.5,48,87-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R16_R1,28756111,Male_1,Ind_4,DOX,0.5,48,17-3_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R34_R1,22824045,Male_2,Ind_5,DOX,0.5,48,84-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R52_R1,26865701,Male_3,Ind_6,DOX,0.5,48,90-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R60_R1,29123653,female_1,Ind_1,VEH,0.5,3,75-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R78_R1,24002778,female_2,Ind_2,VEH,0.5,3,78-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R96_R1,28015388,female_3,Ind_3,VEH,0.5,3,87-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R6_R1,26704184,Male_1,Ind_4,VEH,0.5,3,17-3_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R24_R1,24849849,Male_2,Ind_5,VEH,0.5,3,84-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R42_R1,24126181,Male_3,Ind_6,VEH,0.5,3,90-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R66_R1,30333904,female_1,Ind_1,VEH,0.5,24,75-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R84_R1,25141721,female_2,Ind_2,VEH,0.5,24,78-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R102_R1,28144482,female_3,Ind_3,VEH,0.5,24,87-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R12_R1,22196312,Male_1,Ind_4,VEH,0.5,24,17-3_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R30_R1,26164243,Male_2,Ind_5,VEH,0.5,24,84-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R48_R1,26696209,Male_3,Ind_6,VEH,0.5,24,90-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R72_R1,29926971,female_1,Ind_1,VEH,0.5,48,75-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R90_R1,25142264,female_2,Ind_2,VEH,0.5,48,78-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R108_R1,26179388,female_3,Ind_3,VEH,0.5,48,87-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R18_R1,24564863,Male_1,Ind_4,VEH,0.5,48,17-3_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R36_R1,23783420,Male_2,Ind_5,VEH,0.5,48,84-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R54_R1,23539828,Male_3,Ind_6,VEH,0.5,48,90-1_VEH_0.5_48,VEH_0.5
